ID	Type	Longitude	Latitude
R42	c	-79.998290	39.6085810
R43	c	-76.567701	39.4863080
R44	c	-77.910990	36.8310030
R45	c	-78.737348	38.0590940
R46	c	-79.414686	38.0587360
R47	c	-78.214721	37.0290530
R48	c	-76.237664	38.6030450
R49	c	-77.125777	39.1686920
R50	c	-80.171708	37.4340590
R51	c	-76.493067	38.4803570
R52	c	-77.831748	37.3248850
R53	c	-78.067728	37.8099240
R54	c	-77.877607	37.9632990
R55	c	-78.277594	39.7678830
R56	c	-76.970814	38.9773710
R57	c	-78.611895	37.9260910
R58	c	-80.291959	39.0454620
R59	c	-76.955831	36.6778750
R60	c	-76.297175	39.6835830
R61	c	-78.787467	38.2608290
R62	c	-78.621053	37.8403800
R63	c	-79.143397	39.8003430
R64	c	-78.992719	38.4853930
R65	c	-79.786634	39.9416530
R66	c	-77.457968	38.5175210
R67	c	-79.507101	38.5795000
R68	c	-76.867021	38.0072150
R69	c	-76.740381	38.4779470
R70	c	-77.611204	38.6140660
R71	c	-77.178430	37.4626710
R72	c	-80.076553	37.2726090
R73	c	-79.996389	39.0360100
R74	c	-77.404822	36.7319220
R75	c	-77.034977	37.7864190
R76	c	-79.859458	39.2181410
R77	c	-76.515256	38.3676690
R78	c	-77.813469	37.8767490
R79	c	-78.081945	39.5951720
R80	c	-77.444637	38.0913320
R81	c	-76.778506	38.4404420
R82	c	-79.899041	38.2068910
R83	c	-76.096935	37.5131480
R84	c	-78.960456	37.7419920
R85	c	-77.524290	37.0341470
R86	c	-78.739215	39.8863360
R87	c	-77.397604	39.5807150
R88	c	-79.240356	38.3972190
R89	c	-79.575073	36.9033140
R90	c	-77.489056	38.0097900
R91	c	-78.299833	37.1347070
R92	c	-76.902304	37.9764010
R93	c	-78.008664	37.4042450
R94	c	-76.536592	37.7027710
R95	c	-77.923618	37.5384190
R96	c	-78.502582	39.3056570
R97	c	-78.698774	39.9642970
R98	c	-77.539472	38.7502040
R99	c	-78.064503	37.0284620
R100	c	-76.904625	39.9256390
R101	c	-78.346252	36.9542220
R102	c	-79.302308	39.3333050
R103	c	-77.081653	36.9977000
R104	c	-76.243739	37.6272740
R105	c	-76.817923	37.7865850
R106	c	-78.530193	39.6614550
R107	c	-80.339652	37.2757750
R108	c	-76.368124	36.6688500
R109	c	-79.799104	39.9440280
R110	c	-77.958103	38.0750060
R111	c	-80.154509	39.4598860
R112	c	-78.593106	37.3402480
R113	c	-79.310434	37.9379270
R114	c	-77.867060	37.0573530
R115	c	-80.086504	39.3856730
R116	c	-76.428721	36.9972150
R117	c	-79.555146	37.4948930
R118	c	-77.722349	39.7798920
R119	c	-80.171634	39.5970100
R120	c	-79.753031	36.7864720
R121	c	-77.527765	39.7093590
R122	c	-76.773145	36.6920630
R123	c	-79.135267	37.1733880
R124	c	-75.980974	37.5290190
R125	c	-78.586794	39.0839320
R126	c	-77.179583	38.1915440
R127	c	-77.372374	36.7600370
R128	c	-78.145450	38.3673000
R129	c	-78.481129	37.7098540
R130	c	-78.386782	38.9027990
R131	c	-79.265869	38.3399380
R132	c	-76.413999	38.3890690
R133	c	-76.818743	37.2835650
R134	c	-79.253110	37.8619750
R135	c	-77.363851	38.6854130
R136	c	-76.334500	37.0197870
R137	c	-79.130631	37.5185570
R138	c	-80.053144	38.0024740
R139	c	-78.325683	37.3234710


Q Vehicle fuel tank capacity /60/
r fuel consumption rate /0.2/
TL TourLength /11/
v average Velocity /40/
m numVeh /20/
