ID      Type    Longitude       Latitude
R42     c       -79.998290      39.6085810
R43     c       -76.567701      39.4863080
R44     c       -77.910990      36.8310030
R45     c       -78.737348      38.0590940
R46     c       -79.414686      38.0587360
R47     c       -78.214721      37.0290530
R48     c       -76.237664      38.6030450
R49     c       -77.125777      39.1686920
R50     c       -80.171708      37.4340590
R51     c       -76.493067      38.4803570
R52     c       -77.831748      37.3248850
R53     c       -78.067728      37.8099240
R54     c       -77.877607      37.9632990
R55     c       -78.277594      39.7678830
R56     c       -76.970814      38.9773710
R57     c       -78.611895      37.9260910
R58     c       -80.291959      39.0454620
R59     c       -76.955831      36.6778750
R60     c       -76.297175      39.6835830
R61     c       -78.787467      38.2608290
R62     c       -78.621053      37.8403800
R63     c       -79.143397      39.8003430
R64     c       -78.992719      38.4853930
R65     c       -79.786634      39.9416530
R66     c       -77.457968      38.5175210
R67     c       -79.507101      38.5795000
R68     c       -76.867021      38.0072150
R69     c       -76.740381      38.4779470
R70     c       -77.611204      38.6140660
R71     c       -77.178430      37.4626710
R72     c       -80.076553      37.2726090
R73     c       -79.996389      39.0360100
R74     c       -77.404822      36.7319220
R75     c       -77.034977      37.7864190
R76     c       -79.859458      39.2181410
R77     c       -76.515256      38.3676690
R78     c       -77.813469      37.8767490
R79     c       -78.081945      39.5951720
R80     c       -77.444637      38.0913320
R81     c       -76.778506      38.4404420
R82     c       -79.899041      38.2068910
R83     c       -76.096935      37.5131480
R84     c       -78.960456      37.7419920
R85     c       -77.524290      37.0341470
R86     c       -78.739215      39.8863360
R87     c       -77.397604      39.5807150
R88     c       -79.240356      38.3972190
R89     c       -79.575073      36.9033140
R90     c       -77.489056      38.0097900
R91     c       -78.299833      37.1347070
R92     c       -76.902304      37.9764010
R93     c       -78.008664      37.4042450
R94     c       -76.536592      37.7027710
R95     c       -77.923618      37.5384190
R96     c       -78.502582      39.3056570
R97     c       -78.698774      39.9642970
R98     c       -77.539472      38.7502040
R99     c       -78.064503      37.0284620
R100    c       -76.904625      39.9256390
R101    c       -78.346252      36.9542220
R102    c       -79.302308      39.3333050
R103    c       -77.081653      36.9977000
R104    c       -76.243739      37.6272740
R105    c       -76.817923      37.7865850
R106    c       -78.530193      39.6614550
R107    c       -80.339652      37.2757750
R108    c       -76.368124      36.6688500
R109    c       -79.799104      39.9440280
R110    c       -77.958103      38.0750060
R111    c       -80.154509      39.4598860
R112    c       -78.593106      37.3402480
R113    c       -79.310434      37.9379270
R114    c       -77.867060      37.0573530
R115    c       -80.086504      39.3856730
R116    c       -76.428721      36.9972150
R117    c       -79.555146      37.4948930
R118    c       -77.722349      39.7798920
R119    c       -80.171634      39.5970100
R120    c       -79.753031      36.7864720
R121    c       -77.527765      39.7093590
R122    c       -76.773145      36.6920630
R123    c       -79.135267      37.1733880
R124    c       -75.980974      37.5290190
R125    c       -78.586794      39.0839320
R126    c       -77.179583      38.1915440
R127    c       -77.372374      36.7600370
R128    c       -78.145450      38.3673000
R129    c       -78.481129      37.7098540
R130    c       -78.386782      38.9027990
R131    c       -79.265869      38.3399380
R132    c       -76.413999      38.3890690
R133    c       -76.818743      37.2835650
R134    c       -79.253110      37.8619750
R135    c       -77.363851      38.6854130
R136    c       -76.334500      37.0197870
R137    c       -79.130631      37.5185570
R138    c       -80.053144      38.0024740
R139    c       -78.325683      37.3234710
R140    c       -78.773151      39.9376053
R141    c       -80.196580      38.6159557
R142    c       -78.212588      39.1172107
R143    c       -77.762048      39.5197221
R144    c       -79.860443      39.5461634
R145    c       -78.602422      38.7380087
R146    c       -76.879446      38.6841445
R147    c       -76.927354      38.2255062
R148    c       -77.141760      38.2325270
R149    c       -80.271503      38.5446351
R150    c       -79.059284      37.6707795
R151    c       -77.415246      37.0701268
R152    c       -76.150540      38.8843379
R153    c       -77.000626      37.4865376
R154    c       -78.365198      37.3822704
R155    c       -78.245654      38.4449127
R156    c       -77.259268      39.2196824
R157    c       -79.738725      38.3264931
R158    c       -76.337866      39.1451784
R159    c       -79.043951      38.8290192
R160    c       -76.192801      39.7162195
R161    c       -76.905733      37.3688060
R162    c       -80.194441      39.7409474
R163    c       -78.488112      37.0378791
R164    c       -79.402679      37.8014548
R165    c       -80.391261      37.6992187
R166    c       -77.670063      37.3909943
R167    c       -76.193730      39.7837073
R168    c       -78.011989      38.6115651
R169    c       -79.670199      37.7845407
R170    c       -79.387710      37.4721033
R171    c       -76.130899      39.1354937
R172    c       -76.028842      38.7371138
R173    c       -80.015671      37.3978473
R174    c       -76.700348      39.2905068
R175    c       -76.234728      37.6622372
R176    c       -79.305174      39.0998206
R177    c       -77.441811      38.8515870
R178    c       -79.147582      39.2606523
R179    c       -76.725113      36.8130246
R180    c       -78.875288      38.9708053
R181    c       -79.409773      37.9630094
R182    c       -79.901161      37.7182341
R183    c       -77.797329      37.1721316
R184    c       -75.970100      37.8711634
R185    c       -79.120569      39.0486385
R186    c       -77.247883      37.4148507
R187    c       -78.584288      38.7717410
R188    c       -79.658230      39.5690659
R189    c       -78.736567      38.7511005
R190    c       -79.174428      36.7372283
R191    c       -76.767747      36.8675228
R192    c       -77.231894      37.7270823
R193    c       -79.751244      37.8671932
R194    c       -77.311151      38.8413454
R195    c       -76.131332      36.8428430
R196    c       -79.836191      38.8484416
R197    c       -77.983921      38.6694202
R198    c       -77.883140      37.5012315
R199    c       -78.082203      38.5664124
R200    c       -77.118979      37.0966110
R201    c       -80.248321      38.4116202
R202    c       -79.861998      37.6893799
R203    c       -80.034417      39.0592980
R204    c       -77.425695      37.8421289
R205    c       -77.736474      39.3662485
R206    c       -79.469356      38.8261004
R207    c       -78.478009      39.1035865
R208    c       -76.437302      36.9530373
R209    c       -78.964463      39.2287130
R210    c       -78.353843      37.5429409
R211    c       -78.881167      38.2489813
R212    c       -80.301839      39.2730274
R213    c       -80.344259      39.1299673
R214    c       -76.755388      39.0944093
R215    c       -78.040197      38.5373500
R216    c       -78.635654      37.1831652
R217    c       -78.485462      38.4706074
R218    c       -76.917268      38.5517799
R219    c       -76.823353      37.4408310
R220    c       -77.162956      38.2036708
R221    c       -78.607339      37.5679688
R222    c       -78.497988      39.5384974
R223    c       -78.598899      37.4217165
R224    c       -79.137092      37.9012329
R225    c       -77.293314      37.8852457
R226    c       -77.036971      38.5538197
R227    c       -79.703847      38.1443560
R228    c       -76.474035      39.8306286
R229    c       -76.887297      38.3900345
R230    c       -80.148336      38.9874478
R231    c       -77.348262      38.7636387
R232    c       -77.253915      37.1718630
R233    c       -77.038593      39.1691346
R234    c       -77.023964      39.6841839
R235    c       -77.150723      39.3753853
R236    c       -77.666464      39.5368654
R237    c       -79.801521      39.3687046
R238    c       -79.756775      39.6474543
R239    c       -77.539538      38.0847553
R240    c       -77.250424      37.0947191
R241    c       -78.551222      39.9713356
R242    c       -77.944271      38.1508435
R243    c       -79.151092      36.7919485
R244    c       -76.910577      39.2335039
R245    c       -79.122985      38.2323056
R246    c       -78.886614      39.1472537
R247    c       -80.059401      38.0827974
R248    c       -76.916157      39.8161185
R249    c       -79.985356      37.4118945
R250    c       -78.921281      36.8926662
R251    c       -77.459744      39.7429768
R252    c       -76.169821      37.9499490
R253    c       -77.138866      36.7010236
R254    c       -79.551550      37.9167011
R255    c       -80.396571      39.1623327
R256    c       -76.103113      37.2990622
R257    c       -79.814687      38.6464764
R258    c       -79.556024      37.4801727
R259    c       -76.947401      37.1402030
R260    c       -79.940376      37.4829585
R261    c       -77.506475      36.8463882
R262    c       -79.199034      37.6138972
R263    c       -77.179624      38.1972697
R264    c       -79.780801      37.5582464
R265    c       -78.155132      38.3418299
R266    c       -77.064705      38.5829562
R267    c       -78.411993      38.3549857
R268    c       -78.887914      38.1494847
R269    c       -76.852343      37.2819694
R270    c       -77.765289      37.7669313
R271    c       -76.025496      39.0318643
R272    c       -75.947102      38.9559359
R273    c       -77.499717      39.5024945
R274    c       -80.329551      36.9302876
R275    c       -78.336171      39.8299640
R276    c       -78.779752      38.5009748
R277    c       -79.968188      38.2830233
R278    c       -77.622627      37.9623990
R279    c       -78.990081      38.7134618
R280    c       -78.810144      39.0337172
R281    c       -79.033067      38.5403311
R282    c       -76.686761      39.6826626
R283    c       -77.242374      37.3839684
R284    c       -76.707890      39.8675903
R285    c       -79.359953      38.8932846
R286    c       -77.576168      38.0062378
R287    c       -76.680610      39.6899798
R288    c       -76.845862      38.6003395
R289    c       -79.114478      37.6142167
R290    c       -79.014147      38.6535306
R291    c       -79.779004      37.8412510
R292    c       -77.305792      37.4093879
R293    c       -75.912700      38.3030785
R294    c       -80.110258      38.6871021
R295    c       -77.621809      38.5181587
R296    c       -78.502564      38.6038115
R297    c       -76.949297      38.4357801
R298    c       -78.102003      39.6810666
R299    c       -79.468345      37.7355568
R300    c       -78.070550      37.2889237
R301    c       -76.306863      36.7590202
R302    c       -76.372975      37.5661580
R303    c       -76.359753      38.0878295
R304    c       -79.532315      36.9354855
R305    c       -79.894044      39.6129016
R306    c       -78.218770      37.6639488
R307    c       -77.821966      38.0190138
R308    c       -76.467340      38.8115429
R309    c       -76.963694      37.2937172
R310    c       -79.858263      39.7215570
R311    c       -78.868375      37.5647644
R312    c       -77.547746      39.3044796
R313    c       -79.281049      39.9379716
R314    c       -77.374551      39.9208390
R315    c       -78.359203      36.6945044
R316    c       -79.315467      37.7748691
R317    c       -77.767399      39.4569066
R318    c       -76.408695      38.1540533
R319    c       -78.774945      38.1952840
R320    c       -79.459267      39.6720135
R321    c       -77.729317      38.3372185
R322    c       -79.558087      38.5913072
R323    c       -79.487373      37.6992351
R324    c       -79.399613      38.9662670
R325    c       -76.978038      37.5729900
R326    c       -79.624647      36.9974659
R327    c       -77.558652      38.3008861
R328    c       -79.597331      39.0165138
R329    c       -78.785006      37.8202367
R330    c       -80.132566      37.3735531
R331    c       -76.665805      39.3862718
R332    c       -76.441206      37.7105993
R333    c       -76.906167      39.7368200
R334    c       -78.096265      36.8608940
R335    c       -79.810905      38.4718728
R336    c       -78.811279      38.7026033
R337    c       -76.851241      37.2956582
R338    c       -79.053244      39.6835592
R339    c       -77.439525      38.7965953
R340    c       -79.617060      39.3119946
R341    c       -78.312844      38.0857998
R342    c       -78.617857      38.0952093
R343    c       -77.688823      37.0656427
R344    c       -80.084672      36.8767639
R345    c       -78.073695      37.8578958
R346    c       -76.738690      39.2099979
R347    c       -76.060327      37.3168679
R348    c       -78.712848      37.4492905
R349    c       -78.982165      37.8118964
R350    c       -76.136044      38.1116308
R351    c       -76.021901      38.1347496
R352    c       -78.776136      39.0532965
R353    c       -77.999219      39.1482807
R354    c       -78.457075      37.0903822
R355    c       -77.878736      37.8763907
R356    c       -78.365414      39.8366974
R357    c       -76.334797      38.9787757
R358    c       -76.791826      38.7009431
R359    c       -76.014764      38.7993597
R360    c       -78.222722      36.9180643
R361    c       -79.668401      39.5789807
R362    c       -79.455931      39.5258833
R363    c       -79.613424      36.8274184
R364    c       -77.353048      38.2998689
R365    c       -80.379998      38.2770354
R366    c       -77.597406      37.1902155
R367    c       -79.141666      37.7463892
R368    c       -77.361044      37.5146961
R369    c       -79.501525      39.2002602
R370    c       -80.074449      38.8626040
R371    c       -79.845859      36.9467966
R372    c       -79.895615      39.3349688
R373    c       -77.105504      36.7841887
R374    c       -77.611585      38.4031545
R375    c       -79.784906      37.5217143
R376    c       -76.771555      38.8133911
R377    c       -79.805866      39.8317116
R378    c       -79.631948      39.1124339
R379    c       -76.639980      37.5602337
R380    c       -79.366894      39.5299980
R381    c       -80.141240      37.9837045
R382    c       -79.342412      38.5855354
R383    c       -77.663636      39.3590456
R384    c       -78.218798      38.1070082
R385    c       -80.169805      37.7807766
R386    c       -78.951523      38.0269893
R387    c       -77.624710      39.7348218
R388    c       -79.395299      37.8984558
R389    c       -76.063145      38.3122151


Q Vehicle fuel tank capacity /60/
r fuel consumption rate /0.2/
TL TourLength /11/
v average Velocity /40/
m numVeh /20/
