ID      Type    Longitude       Latitude
VA47    c       -80.05940156    37.27628983
VA48    c       -79.95643952    37.24365982
VA49    c       -79.95643952    37.24365982
VA50    c       -79.45550101    37.51218082
VA3     c       -79.44403674    37.77624814
VA51    c       -79.87385069    37.79885004
VA52    c       -79.17842459    37.43868295
VA53    c       -79.17326579    37.41995151
VA54    c       -79.24159536    37.3534532
VA55    c       -78.39364155    37.29310626
VA56    c       -78.38251901    37.26265942
VA57    c       -79.28306935    37.13289225
VA58    c       -79.3819542     36.95340909
VA59    c       -78.91424913    36.71261095
VA60    c       -79.41253492    36.59632371
VA61    c       -80.27292307    36.67558255
VA62    c       -80.9236572     36.67252137
VA63    c       -81.02516301    36.70600952
VA64    c       -76.97401961    37.53867673
VA65    c       -77.59956516    37.53435299
VA66    c       -77.41347846    37.21953981
VA67    c       -77.39806359    37.54077412
VA68    c       -77.46419656    37.5627059
VA69    c       -77.52181483    37.52013863
VA70    c       -77.55019994    37.53704028
VA71    c       -79.87410086    37.00159855
VA72    c       -78.91154695    38.2855601
MD73    c       -78.98672929    38.09479103
VA74    c       -79.03795149    38.13248564
VA75    c       -78.67266957    38.41585476
R1      c       -78.356543      39.7842520
R2      c       -76.716984      39.7051550
R3      c       -76.575340      38.3828530
R4      c       -76.409364      37.5593740
R5      c       -77.655695      36.7046650
R6      c       -76.925063      38.7272860
R7      c       -78.647809      39.5435640
R8      c       -79.648122      36.9951980
R9      c       -78.196038      38.2770530
R10     c       -75.941614      37.2862450
R11     c       -79.416061      37.0428740
R12     c       -76.275829      38.3609800
R13     c       -77.735169      37.8438900
R14     c       -77.391155      36.8653410
R15     c       -77.873796      38.2536080
R16     c       -76.248141      37.2247880
R17     c       -79.216982      37.0517050
R18     c       -77.273285      36.8105100
R19     c       -78.096615      37.7287330
R20     c       -76.885788      37.5611030
R21     c       -76.525833      37.5881120
R22     c       -77.608154      39.2802980
R23     c       -77.029146      39.3286480
R24     c       -79.078591      36.7780630
R25     c       -77.208537      37.5365650
R26     c       -79.912684      39.7012140
R27     c       -80.018620      37.4313960
R28     c       -76.089511      38.3259960
R29     c       -76.522211      39.3359050
R30     c       -76.103783      39.5240950
R31     c       -76.224126      36.9926650
R32     c       -80.260026      38.2202080
R33     c       -76.560178      38.5033950
R34     c       -78.558591      39.9501540
R35     c       -76.736210      37.7673310
R36     c       -79.319111      37.1873820
R37     c       -77.603138      37.6100520
R38     c       -78.354440      38.2739960
R39     c       -77.933036      39.2873640
R40     c       -78.929660      39.6560480
R41     c       -77.073726      37.0127720
R42     c       -79.998290      39.6085810
R43     c       -76.567701      39.4863080
R44     c       -77.910990      36.8310030
R45     c       -78.737348      38.0590940
R46     c       -79.414686      38.0587360
R47     c       -78.214721      37.0290530
R48     c       -76.237664      38.6030450
R49     c       -77.125777      39.1686920
R50     c       -80.171708      37.4340590
R51     c       -76.493067      38.4803570
R52     c       -77.831748      37.3248850
R53     c       -78.067728      37.8099240
R54     c       -77.877607      37.9632990
R55     c       -78.277594      39.7678830
R56     c       -76.970814      38.9773710
R57     c       -78.611895      37.9260910
R58     c       -80.291959      39.0454620
R59     c       -76.955831      36.6778750
R60     c       -76.297175      39.6835830
R61     c       -78.787467      38.2608290
R62     c       -78.621053      37.8403800
R63     c       -79.143397      39.8003430
R64     c       -78.992719      38.4853930
R65     c       -79.786634      39.9416530
R66     c       -77.457968      38.5175210
R67     c       -79.507101      38.5795000
R68     c       -76.867021      38.0072150
R69     c       -76.740381      38.4779470
R70     c       -77.611204      38.6140660
R71     c       -77.178430      37.4626710
R72     c       -80.076553      37.2726090
R73     c       -79.996389      39.0360100
R74     c       -77.404822      36.7319220
R75     c       -77.034977      37.7864190
R76     c       -79.859458      39.2181410
R77     c       -76.515256      38.3676690
R78     c       -77.813469      37.8767490
R79     c       -78.081945      39.5951720
R80     c       -77.444637      38.0913320
R81     c       -76.778506      38.4404420
R82     c       -79.899041      38.2068910
R83     c       -76.096935      37.5131480
R84     c       -78.960456      37.7419920
R85     c       -77.524290      37.0341470
R86     c       -78.739215      39.8863360
R87     c       -77.397604      39.5807150
R88     c       -79.240356      38.3972190
R89     c       -79.575073      36.9033140
R90     c       -77.489056      38.0097900
R91     c       -78.299833      37.1347070
R92     c       -76.902304      37.9764010
R93     c       -78.008664      37.4042450
R94     c       -76.536592      37.7027710
R95     c       -77.923618      37.5384190
R96     c       -78.502582      39.3056570
R97     c       -78.698774      39.9642970
R98     c       -77.539472      38.7502040
R99     c       -78.064503      37.0284620
R100    c       -76.904625      39.9256390
R101    c       -78.346252      36.9542220
R102    c       -79.302308      39.3333050
R103    c       -77.081653      36.9977000
R104    c       -76.243739      37.6272740
R105    c       -76.817923      37.7865850
R106    c       -78.530193      39.6614550
R107    c       -80.339652      37.2757750
R108    c       -76.368124      36.6688500
R109    c       -79.799104      39.9440280
R110    c       -77.958103      38.0750060
R111    c       -80.154509      39.4598860
R112    c       -78.593106      37.3402480
R113    c       -79.310434      37.9379270
R114    c       -77.867060      37.0573530
R115    c       -80.086504      39.3856730
R116    c       -76.428721      36.9972150
R117    c       -79.555146      37.4948930
R118    c       -77.722349      39.7798920
R119    c       -80.171634      39.5970100
R120    c       -79.753031      36.7864720
R121    c       -77.527765      39.7093590
R122    c       -76.773145      36.6920630
R123    c       -79.135267      37.1733880
R124    c       -75.980974      37.5290190
R125    c       -78.586794      39.0839320
R126    c       -77.179583      38.1915440
R127    c       -77.372374      36.7600370
R128    c       -78.145450      38.3673000
R129    c       -78.481129      37.7098540
R130    c       -78.386782      38.9027990
R131    c       -79.265869      38.3399380
R132    c       -76.413999      38.3890690
R133    c       -76.818743      37.2835650
R134    c       -79.253110      37.8619750
R135    c       -77.363851      38.6854130
R136    c       -76.334500      37.0197870
R137    c       -79.130631      37.5185570
R138    c       -80.053144      38.0024740
R139    c       -78.325683      37.3234710
R140    c       -78.773151      39.9376053
R141    c       -80.196580      38.6159557
R142    c       -78.212588      39.1172107
R143    c       -77.762048      39.5197221
R144    c       -79.860443      39.5461634
R145    c       -78.602422      38.7380087
R146    c       -76.879446      38.6841445
R147    c       -76.927354      38.2255062
R148    c       -77.141760      38.2325270
R149    c       -80.271503      38.5446351
R150    c       -79.059284      37.6707795
R151    c       -77.415246      37.0701268
R152    c       -76.150540      38.8843379
R153    c       -77.000626      37.4865376
R154    c       -78.365198      37.3822704
R155    c       -78.245654      38.4449127
R156    c       -77.259268      39.2196824
R157    c       -79.738725      38.3264931
R158    c       -76.337866      39.1451784
R159    c       -79.043951      38.8290192
R160    c       -76.192801      39.7162195
R161    c       -76.905733      37.3688060
R162    c       -80.194441      39.7409474
R163    c       -78.488112      37.0378791
R164    c       -79.402679      37.8014548
R165    c       -80.391261      37.6992187
R166    c       -77.670063      37.3909943
R167    c       -76.193730      39.7837073
R168    c       -78.011989      38.6115651
R169    c       -79.670199      37.7845407
R170    c       -79.387710      37.4721033
R171    c       -76.130899      39.1354937
R172    c       -76.028842      38.7371138
R173    c       -80.015671      37.3978473
R174    c       -76.700348      39.2905068
R175    c       -76.234728      37.6622372
R176    c       -79.305174      39.0998206
R177    c       -77.441811      38.8515870
R178    c       -79.147582      39.2606523
R179    c       -76.725113      36.8130246
R180    c       -78.875288      38.9708053
R181    c       -79.409773      37.9630094
R182    c       -79.901161      37.7182341
R183    c       -77.797329      37.1721316
R184    c       -75.970100      37.8711634
R185    c       -79.120569      39.0486385
R186    c       -77.247883      37.4148507
R187    c       -78.584288      38.7717410
R188    c       -79.658230      39.5690659
R189    c       -78.736567      38.7511005
R190    c       -79.174428      36.7372283
R191    c       -76.767747      36.8675228
R192    c       -77.231894      37.7270823
R193    c       -79.751244      37.8671932
R194    c       -77.311151      38.8413454
R195    c       -76.131332      36.8428430
R196    c       -79.836191      38.8484416
R197    c       -77.983921      38.6694202
R198    c       -77.883140      37.5012315
R199    c       -78.082203      38.5664124
R200    c       -77.118979      37.0966110
R201    c       -80.248321      38.4116202
R202    c       -79.861998      37.6893799
R203    c       -80.034417      39.0592980
R204    c       -77.425695      37.8421289
R205    c       -77.736474      39.3662485
R206    c       -79.469356      38.8261004
R207    c       -78.478009      39.1035865
R208    c       -76.437302      36.9530373
R209    c       -78.964463      39.2287130
R210    c       -78.353843      37.5429409
R211    c       -78.881167      38.2489813
R212    c       -80.301839      39.2730274
R213    c       -80.344259      39.1299673
R214    c       -76.755388      39.0944093
R215    c       -78.040197      38.5373500
R216    c       -78.635654      37.1831652
R217    c       -78.485462      38.4706074
R218    c       -76.917268      38.5517799
R219    c       -76.823353      37.4408310
R220    c       -77.162956      38.2036708
R221    c       -78.607339      37.5679688
R222    c       -78.497988      39.5384974
R223    c       -78.598899      37.4217165
R224    c       -79.137092      37.9012329
R225    c       -77.293314      37.8852457
R226    c       -77.036971      38.5538197
R227    c       -79.703847      38.1443560
R228    c       -76.474035      39.8306286
R229    c       -76.887297      38.3900345
R230    c       -80.148336      38.9874478
R231    c       -77.348262      38.7636387
R232    c       -77.253915      37.1718630
R233    c       -77.038593      39.1691346
R234    c       -77.023964      39.6841839
R235    c       -77.150723      39.3753853
R236    c       -77.666464      39.5368654
R237    c       -79.801521      39.3687046
R238    c       -79.756775      39.6474543
R239    c       -77.539538      38.0847553

Q Vehicle fuel tank capacity /60/
r fuel consumption rate /0.2/
TL TourLength /11/
v average Velocity /40/
m numVeh /20/
